feedback_id,feedback_theme,score_drivers,risk_drivers,decision_reason,recommended_next_action,score_interpretation
FB-005,Activation bug,priority 87.7; revenue impact 100.0; retention impact 85.0; expansion impact 60.0; strategic fit 100.0; confidence 90.0,High retention risk; Critical severity; No workaround available; Medium implementation effort,"Build now priority; Repeated frequency; High retention risk; Medium expansion potential; Medium effort; $120,000 revenue blocked; decision: Build now",Scope Custom field import validation for this roadmap cycle and assign product owner.,Build now because this item is build now with transparent weighted inputs.
FB-001,CRM integration,priority 86.5; revenue impact 100.0; retention impact 55.0; expansion impact 90.0; strategic fit 100.0; confidence 90.0,Medium retention risk; Critical severity; No workaround available; High implementation effort,"Build now priority; Widespread frequency; Medium retention risk; High expansion potential; High effort; $140,000 revenue blocked; decision: Build now",Scope Salesforce two-way sync for this roadmap cycle and assign product owner.,Build now because this item is build now with transparent weighted inputs.
FB-012,Enterprise controls,priority 84.7; revenue impact 100.0; retention impact 55.0; expansion impact 90.0; strategic fit 100.0; confidence 90.0,Medium retention risk; Critical severity; No workaround available; High implementation effort,"Build now priority; Repeated frequency; Medium retention risk; High expansion potential; High effort; $250,000 revenue blocked; decision: Build now",Scope Advanced audit logs for this roadmap cycle and assign product owner.,Build now because this item is build now with transparent weighted inputs.
FB-034,Security export,priority 84.3; revenue impact 100.0; retention impact 55.0; expansion impact 90.0; strategic fit 100.0; confidence 90.0,Medium retention risk; Critical severity; No workaround available; Medium implementation effort,"Build now priority; Some frequency; Medium retention risk; High expansion potential; Medium effort; $220,000 revenue blocked; decision: Build now",Scope Audit log export for this roadmap cycle and assign product owner.,Build now because this item is build now with transparent weighted inputs.
FB-009,Reporting gap,priority 80.1; revenue impact 0.0; retention impact 100.0; expansion impact 90.0; strategic fit 100.0; confidence 90.0,Critical retention risk; Critical severity; No workaround available; High implementation effort,Build now priority; Repeated frequency; Critical retention risk; High expansion potential; High effort; decision: Build now,Scope Business unit ROI dashboard for this roadmap cycle and assign product owner.,Build now because this item is build now with transparent weighted inputs.
FB-030,Activation bug,priority 79.5; revenue impact 61.0; retention impact 85.0; expansion impact 25.0; strategic fit 100.0; confidence 90.0,High retention risk; Critical severity; No workaround available; Medium implementation effort,"Validate next priority; Repeated frequency; High retention risk; Low expansion potential; Medium effort; $61,000 revenue blocked; decision: Validate with customers",Run discovery with 3 to 5 accounts on Activation bug before committing build capacity.,Validate with customers because this item is validate next with transparent weighted inputs.
FB-028,Admin analytics,priority 79.4; revenue impact 0.0; retention impact 100.0; expansion impact 60.0; strategic fit 100.0; confidence 90.0,Critical retention risk; Critical severity; No workaround available; Medium implementation effort,Validate next priority; Repeated frequency; Critical retention risk; Medium expansion potential; Medium effort; decision: Validate with customers,Run discovery with 3 to 5 accounts on Admin analytics before committing build capacity.,Validate with customers because this item is validate next with transparent weighted inputs.
FB-008,Reporting gap,priority 79.2; revenue impact 0.0; retention impact 100.0; expansion impact 60.0; strategic fit 100.0; confidence 90.0,Critical retention risk; Critical severity; No workaround available; High implementation effort,Validate next priority; Widespread frequency; Critical retention risk; Medium expansion potential; High effort; decision: Validate with customers,Run discovery with 3 to 5 accounts on Reporting gap before committing build capacity.,Validate with customers because this item is validate next with transparent weighted inputs.
FB-025,API reliability,priority 78.4; revenue impact 0.0; retention impact 85.0; expansion impact 90.0; strategic fit 100.0; confidence 90.0,High retention risk; Critical severity; No workaround available; High implementation effort,Validate next priority; Repeated frequency; High retention risk; High expansion potential; High effort; decision: Validate with customers,Run discovery with 3 to 5 accounts on API reliability before committing build capacity.,Validate with customers because this item is validate next with transparent weighted inputs.
FB-013,Enterprise controls,priority 76.8; revenue impact 100.0; retention impact 55.0; expansion impact 60.0; strategic fit 100.0; confidence 60.0,Medium retention risk; High severity; No workaround available; High implementation effort,"Validate next priority; Some frequency; Medium retention risk; Medium expansion potential; High effort; $180,000 revenue blocked; decision: Validate with customers",Run discovery with 3 to 5 accounts on Enterprise controls before committing build capacity.,Validate with customers because this item is validate next with transparent weighted inputs.
