item_id,feedback_theme,issue,recommended_fix_type,reason,owner,next_step,expected_impact
NPF-001,Setup workflow,Customer cannot complete setup because role mapping steps are unclear,Onboarding,"Validate next priority; Repeated frequency; Medium retention risk; Low expansion potential; Medium effort; $30,000 revenue blocked; decision: Solve with onboarding",Customer Success,Update onboarding flow or checklist for Setup workflow before adding product scope.,Unblock revenue or reduce deal friction
NPF-002,Onboarding checklist,Customer stalled because owner handoff checklist was incomplete,Onboarding,"Validate next priority; Repeated frequency; Medium retention risk; Low expansion potential; Low effort; $40,000 revenue blocked; decision: Solve with onboarding",Customer Success,Update onboarding flow or checklist for Onboarding checklist before adding product scope.,Unblock revenue or reduce deal friction
NPF-003,Sales narrative,Buyer misunderstood activation workflow and thought services were required,Sales narrative,"Validate next priority; Repeated frequency; Low retention risk; Low expansion potential; Low effort; $66,000 revenue blocked; decision: Solve with sales narrative",Sales or Founder,Rewrite sales narrative and proof for Sales narrative; monitor if objection persists.,Unblock revenue or reduce deal friction
NPF-004,Documentation gap,Admins ask support to explain report formulas every month,Documentation,Watch priority; Repeated frequency; Medium retention risk; Low expansion potential; Low effort; decision: Solve with support process,Support or Customer Success,"Add support, docs, or CS playbook fix for Documentation gap; track ticket reduction.",Improve operating clarity
NPF-005,Documentation gap,Users keep asking how to configure approval routing,Documentation,Watch priority; Repeated frequency; Low retention risk; Low expansion potential; Low effort; decision: Solve with support process,Support or Customer Success,"Add support, docs, or CS playbook fix for Documentation gap; track ticket reduction.",Improve operating clarity
NPF-006,Support triage,Support team receives many basic questions after release changes,Support process,Watch priority; Repeated frequency; Low retention risk; Low expansion potential; Low effort; decision: Solve with support process,Support or Customer Success,"Add support, docs, or CS playbook fix for Support triage; track ticket reduction.",Improve operating clarity
NPF-007,Training gap,Admin did not understand workspace setup after training,Onboarding,Watch priority; Some frequency; Medium retention risk; Low expansion potential; Low effort; decision: Solve with onboarding,Customer Success,Update onboarding flow or checklist for Training gap before adding product scope.,Improve operating clarity
NPF-008,Niche customization,Customer wants accounting-specific dashboard wording,Reject,Defer priority; Single frequency; Low retention risk; None expansion potential; Low effort; decision: Reject,Founder,Reject or archive Accounting language pack because fit or leverage is too low.,Improve operating clarity
NPF-009,Niche customization,Prospect asked for a dental-specific patient note field,Reject,Defer priority; Single frequency; None retention risk; Low expansion potential; Low effort; decision: Reject,Founder,Reject or archive Dental note template because fit or leverage is too low.,Improve operating clarity
NPF-010,Niche customization,Customer wants custom color-coded invoice labels,Reject,Defer priority; Single frequency; None retention risk; None expansion potential; Medium effort; decision: Reject,Founder,Reject or archive Custom invoice label colors because fit or leverage is too low.,Improve operating clarity
