feedback_id,feedback_date,source,source_detail,customer_name,segment,industry,account_value,lifecycle_stage,feedback_type,feedback_theme,feedback_text,product_area,requested_feature,severity,frequency_signal,revenue_blocked,retention_risk,expansion_potential,strategic_alignment,customer_urgency,workaround_available,implementation_effort,confidence_level,owner,current_status,next_step,notes
FB-001,2026-04-01,Sales call,Discovery recap,Aster Analytics,Enterprise,Data services,140000,Sales,Objection,CRM integration,Prospect will not advance without native Salesforce sync,Integrations,Salesforce two-way sync,Critical,Widespread,140000,Medium,High,High,High,No,High,High,Product,New,Scope integration requirements,Synthetic fictional feedback
FB-002,2026-04-03,Sales call,Demo notes,Northstar Robotics,Mid-market,Manufacturing,82000,Sales,Objection,CRM integration,Sales team asked again for HubSpot activity sync before pilot,Integrations,HubSpot activity sync,High,Repeated,82000,Low,Medium,High,High,Partial,Medium,High,Product,Candidate,Compare HubSpot and Salesforce scope,Synthetic fictional feedback
FB-003,2026-04-04,Founder observation,Demo pattern,Cloudlane Ops,Growth,Logistics,45000,Demo,Founder signal,CRM integration,Third demo this month stalled on CRM export expectations,Integrations,CRM export templates,High,Repeated,45000,Low,Medium,High,Medium,Partial,Medium,Medium,Founder,New,Validate CRM export depth,Synthetic fictional feedback
FB-004,2026-04-05,Onboarding,Implementation notes,Beacon Benefits,Mid-market,HR tech,68000,Onboarding,Product gap,Setup workflow,Customer cannot complete setup because role mapping steps are unclear,Onboarding,Guided role mapping wizard,High,Repeated,30000,Medium,Low,High,High,Partial,Medium,High,Customer Success,New,Improve setup checklist and test product wizard,Synthetic fictional feedback
FB-005,2026-04-06,Onboarding,Activation blocker,Keystone Finance,Enterprise,Financial services,160000,Activation,Bug,Activation bug,Data import fails when file contains custom fields,Onboarding,Custom field import validation,Critical,Repeated,120000,High,Medium,High,High,No,Medium,High,Engineering,New,Fix import validation and communicate timeline,Synthetic fictional feedback
FB-006,2026-04-07,Support,Ticket cluster,Luma Health,Growth,Healthcare,52000,Support,Support issue,Dashboard performance,Dashboard loads slowly for managers with many teams,Reporting,Faster manager dashboard,High,Repeated,0,Medium,Medium,High,Medium,Partial,High,Medium,Engineering,Candidate,Profile dashboard bottleneck,Synthetic fictional feedback
FB-007,2026-04-07,Support,Ticket trend,Atlas Legal,Mid-market,Legal services,74000,Support,Support issue,Dashboard performance,Export view times out during weekly reporting,Reporting,Async report export,High,Some,25000,Medium,Low,High,Medium,Partial,Medium,Medium,Engineering,New,Estimate async export fix,Synthetic fictional feedback
FB-008,2026-04-08,Retention review,QBR notes,Riverbend Insurance,Enterprise,Insurance,190000,Retention,Churn driver,Reporting gap,Executive sponsor says value proof is weak without cohort reporting,Reporting,Cohort reporting,Critical,Widespread,0,Critical,Medium,High,High,No,High,High,Product,Discovery,Run retention discovery call,Synthetic fictional feedback
FB-009,2026-04-09,Renewal review,Renewal risk,Harbor Freight Systems,Enterprise,Supply chain,210000,Renewal,Churn driver,Reporting gap,Renewal owner needs ROI reporting by business unit,Reporting,Business unit ROI dashboard,Critical,Repeated,0,Critical,High,High,High,No,High,High,Product,Discovery,Validate reporting scope with sponsor,Synthetic fictional feedback
FB-010,2026-04-10,Expansion review,Team expansion,TerraGrid Energy,Enterprise,Energy,125000,Expansion,Expansion ask,Team permissions,Expansion depends on region-level admin permissions,Permissions,Region-level admin roles,High,Repeated,0,Low,High,High,High,Partial,Medium,High,Product,Candidate,Design permission model,Synthetic fictional feedback
FB-011,2026-04-11,Customer success,Champion note,Orbit Labs,Mid-market,Biotech,64000,Expansion,Expansion ask,Team permissions,Champion wants department-level permissions before adding more seats,Permissions,Department permissions,Medium,Some,0,Low,High,High,Medium,Partial,Medium,Medium,Product,New,Validate permission pattern,Synthetic fictional feedback
FB-012,2026-04-12,Sales call,Enterprise security review,Cedar Bank,Enterprise,Financial services,250000,Sales,Feature request,Enterprise controls,Security team requested audit logs and SSO policy controls,Admin,Advanced audit logs,Critical,Repeated,250000,Medium,High,High,High,No,High,High,Product,Candidate,Scope enterprise controls,Synthetic fictional feedback
FB-013,2026-04-13,Sales call,Security review,Greenfield Capital,Enterprise,Private markets,180000,Sales,Feature request,Enterprise controls,Buyer asked for admin session policy before legal approval,Admin,Session policy controls,High,Some,180000,Medium,Medium,High,High,No,High,Medium,Product,New,Validate admin control priority,Synthetic fictional feedback
FB-014,2026-04-14,Support,Recurring ticket,Metro Clinics,Mid-market,Healthcare,58000,Support,Support issue,Documentation gap,Users keep asking how to configure approval routing,Documentation,Approval routing guide,Medium,Repeated,0,Low,Low,Medium,Medium,Yes,Low,High,Support,New,Publish guide and support macro,Synthetic fictional feedback
FB-015,2026-04-14,Onboarding,Training session,Pioneer AI Studio,Growth,AI services,38000,Onboarding,Workflow pain,Training gap,Admin did not understand workspace setup after training,Onboarding,Workspace setup training,Medium,Some,0,Medium,Low,Medium,Medium,Yes,Low,Medium,Customer Success,New,Update training checklist,Synthetic fictional feedback
FB-016,2026-04-15,Support,Escalation,Silverline Retail,SMB,Retail,12000,Support,Feature request,Niche customization,Customer wants custom color-coded invoice labels,Reporting,Custom invoice label colors,Low,Single,0,None,None,Outside,Low,Yes,Medium,High,Product,Defer,Reject niche customization,Synthetic fictional feedback
FB-017,2026-04-16,Sales call,Prospect request,Maple Dental Group,SMB,Healthcare,18000,Sales,Feature request,Niche customization,Prospect asked for a dental-specific patient note field,Admin,Dental note template,Low,Single,0,None,Low,Outside,Low,Yes,Low,Medium,Founder,Defer,Reject vertical-specific template,Synthetic fictional feedback
FB-018,2026-04-17,Founder observation,Demo pattern,Vector Cloud,Mid-market,Infrastructure,90000,Demo,Founder signal,Workflow automation,Demos resonate when automated exception routing is shown,Automation,Exception routing workflow,High,Repeated,70000,Medium,High,High,Medium,Partial,Medium,Medium,Founder,Discovery,Validate automation workflow with five accounts,Synthetic fictional feedback
